# T (K)               Helmholtz Free Energy (Ry.)
# V= 167.2239000000000
    0.00      -0.2351365315721
   50.00      -0.2369116303614
  100.00      -0.2415886552261
  150.00      -0.2477242905737
  200.00      -0.2548200750638
  250.00      -0.2626326621773
  300.00      -0.2710174610971
  350.00      -0.2798785457071
  400.00      -0.2891475869782
  450.00      -0.2987734266280
  500.00      -0.3087163206261
  550.00      -0.3189444993106
  600.00      -0.3294319845093
  650.00      -0.3401571372266
  700.00      -0.3511016537087
  750.00      -0.3622498491734
  800.00      -0.3735881330183
  850.00      -0.3851046155096
  900.00      -0.3967888071899
  950.00      -0.4086313851963
 1000.00      -0.4206240088477
 1050.00      -0.4327591721645
 1100.00      -0.4450300845131
 1150.00      -0.4574305729757
 1200.00      -0.4699550017160
 1250.00      -0.4825982047960
 1300.00      -0.4953554297515
 1350.00      -0.5082222898546
 1400.00      -0.5211947234536
 1450.00      -0.5342689591255
 1500.00      -0.5474414856378
 1550.00      -0.5607090259178
 1600.00      -0.5740685143823
 1650.00      -0.5875170771027
 1700.00      -0.6010520143757
 1750.00      -0.6146707853445
 1800.00      -0.6283709943795
 1850.00      -0.6421503789722
 1900.00      -0.6560067989381
 1950.00      -0.6699382267572
 2000.00      -0.6839427389051
 2050.00      -0.6980185080513
 2100.00      -0.7121637960192
 2150.00      -0.7263769474163
 2200.00      -0.7406563838573
 2250.00      -0.7550005987128
 2300.00      -0.7694081523243
 2350.00      -0.7838776676359
 2400.00      -0.7984078261977
 2450.00      -0.8129973645021
 2500.00      -0.8276450706198
 2550.00      -0.8423497811040
 2600.00      -0.8571103781388
 2650.00      -0.8719257869056
 2700.00      -0.8867949731495
 2750.00      -0.9017169409250
 2800.00      -0.9166907305064
 2850.00      -0.9317154164471
 2900.00      -0.9467901057752
 2950.00      -0.9619139363137
 3000.00      -0.9770860751143
 3050.00      -0.9923057169961
 3100.00      -1.0075720831794
 3150.00      -1.0228844200085
 3200.00      -1.0382419977550
 3250.00      -1.0536441094961
 3300.00      -1.0690900700621
 3350.00      -1.0845792150473
 3400.00      -1.1001108998803
 3450.00      -1.1156844989490
 3500.00      -1.1312994047760
 3550.00      -1.1469550272414
 3600.00      -1.1626507928494
 3650.00      -1.1783861440356
 3700.00      -1.1941605385121
 3750.00      -1.2099734486482
 3800.00      -1.2258243608841
 3850.00      -1.2417127751755
 3900.00      -1.2576382044668
 3950.00      -1.2736001741916
 4000.00      -1.2895982217985
 4050.00      -1.3056318963002
 4100.00      -1.3217007578458
 4150.00      -1.3378043773125
 4200.00      -1.3539423359184
 4250.00      -1.3701142248530
 4300.00      -1.3863196449254
 4350.00      -1.4025582062285
 4400.00      -1.4188295278187
 4450.00      -1.4351332374108
 4500.00      -1.4514689710859
 4550.00      -1.4678363730122
 4600.00      -1.4842350951789
 4650.00      -1.5006647971408
 4700.00      -1.5171251457745
 4750.00      -1.5336158150443
 4800.00      -1.5501364857788
 4850.00      -1.5666868454563
 4900.00      -1.5832665879989
 4950.00      -1.5998754135753
 5000.00      -1.6165130284119
# V= 165.0645000000000
    0.00      -0.1935778927669
   50.00      -0.1953289302059
  100.00      -0.1999679189707
  150.00      -0.2060645898883
  200.00      -0.2131211700234
  250.00      -0.2208944560091
  300.00      -0.2292399052490
  350.00      -0.2380616123871
  400.00      -0.2472912587989
  450.00      -0.2568776919910
  500.00      -0.2667811714093
  550.00      -0.2769699296058
  600.00      -0.2874179898846
  650.00      -0.2981037142724
  700.00      -0.3090087997461
  750.00      -0.3201175620593
  800.00      -0.3314164110113
  850.00      -0.3428934571759
  900.00      -0.3545382113347
  950.00      -0.3663413508135
 1000.00      -0.3782945350822
 1050.00      -0.3903902582835
 1100.00      -0.4026217298837
 1150.00      -0.4149827770478
 1200.00      -0.4274677640082
 1250.00      -0.4400715248849
 1300.00      -0.4527893072624
 1350.00      -0.4656167244547
 1400.00      -0.4785497148456
 1450.00      -0.4915845070432
 1500.00      -0.5047175898415
 1550.00      -0.5179456861910
 1600.00      -0.5312657305289
 1650.00      -0.5446748489446
 1700.00      -0.5581703417503
 1750.00      -0.5717496681034
 1800.00      -0.5854104323866
 1850.00      -0.5991503721025
 1900.00      -0.6129673470765
 1950.00      -0.6268593297974
 2000.00      -0.6408243967489
 2050.00      -0.6548607206078
 2100.00      -0.6689665632038
 2150.00      -0.6831402691505
 2200.00      -0.6973802600680
 2250.00      -0.7116850293316
 2300.00      -0.7260531372874
 2350.00      -0.7404832068837
 2400.00      -0.7549739196741
 2450.00      -0.7695240121547
 2500.00      -0.7841322723992
 2550.00      -0.7987975369638
 2600.00      -0.8135186880353
 2650.00      -0.8282946507977
 2700.00      -0.8431243909981
 2750.00      -0.8580069126934
 2800.00      -0.8729412561598
 2850.00      -0.8879264959525
 2900.00      -0.9029617391014
 2950.00      -0.9180461234311
 3000.00      -0.9331788159948
 3050.00      -0.9483590116128
 3100.00      -0.9635859315070
 3150.00      -0.9788588220228
 3200.00      -0.9941769534329
 3250.00      -1.0095396188156
 3300.00      -1.0249461330023
 3350.00      -1.0403958315881
 3400.00      -1.0558880700027
 3450.00      -1.0714222226346
 3500.00      -1.0869976820073
 3550.00      -1.1026138580016
 3600.00      -1.1182701771226
 3650.00      -1.1339660818063
 3700.00      -1.1497010297656
 3750.00      -1.1654744933704
 3800.00      -1.1812859590615
 3850.00      -1.1971349267949
 3900.00      -1.2130209095158
 3950.00      -1.2289434326581
 4000.00      -1.2449020336709
 4050.00      -1.2608962615675
 4100.00      -1.2769256764971
 4150.00      -1.2929898493374
 4200.00      -1.3090883613071
 4250.00      -1.3252208035959
 4300.00      -1.3413867770132
 4350.00      -1.3575858916521
 4400.00      -1.3738177665697
 4450.00      -1.3900820294808
 4500.00      -1.4063783164668
 4550.00      -1.4227062716963
